gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons
CNTNAP1	ENST00000264638	24	1	16	1	16	2	16,24
CNTNAP2	ENST00000361727	24	0		0		0	
COA3	ENST00000328434	2	0		0		0	
COA5	ENST00000328709	3	0		0		0	
COA6	ENST00000366615	3	0		0		1	1
COA7	ENST00000371538	3	0		0		1	3
COA8	ENST00000409074	5	0		0		1	1
COASY	ENST00000393818	9	0		0		3	1-2,4
COCH	ENST00000396618	11	0		0		1	11
COG1	ENST00000299886	14	0		1	1	1	1
COG2	ENST00000366669	18	0		0		4	5,8-9,16
COG3	ENST00000349995	23	1	16	2	9,16	8	4,6-7,9-10,12,16,21
COG4	ENST00000323786	19	0		0		0	
COG5	ENST00000297135	22	0		0		0	
COG6	ENST00000455146	19	0		0		0	
COG7	ENST00000307149	17	0		0		0	
COG8	ENST00000306875	5	0		0		0	
COL10A1	ENST00000651968	2	0		1	3	1	3
COL11A1	ENST00000370096	67	0		0		1	22
COL11A2	ENST00000341947	66	28	2,8,11-13,26-27,29,31-32,35-38,40-42,45-46,49-50,52-54,56,60,64-65	65	1-42,44-66	66	1-66
COL12A1	ENST00000322507	65	0		2	4,21	24	2-4,6-7,10-11,13-14,16,21,23,27,34-35,38-40,44,49-50,52,54,56
COL13A1	ENST00000645393	41	4	5,21,23,40	4	5,21,23,40	7	5,13,21,23,29-30,40
COL14A1	ENST00000297848	47	0		1	48	15	3-4,7,10-12,14,19,24,26,28,32,34,45,48
COL17A1	ENST00000648076	55	0		0		1	10
COL18A1	ENST00000651438	42	2	1-2	2	1-2	3	1-2,34
COL1A1	ENST00000225964	51	0		1	5	1	5
COL1A2	ENST00000297268	52	0		0		2	3,6
COL20A1	ENST00000358894	34	0		0		4	8-9,15,31
COL25A1	ENST00000399132	37	0		0		5	10,12,30,35-36
COL27A1	ENST00000356083	61	3	1,17,29	4	1,17,22,29	4	1,17,22,29
COL2A1	ENST00000380518	54	0		0		0	
COL3A1	ENST00000304636	51	0		0		0	
COL4A1	ENST00000375820	52	0		0		1	1
COL4A2	ENST00000360467	47	1	31	4	24,31,33,43	9	5,19,24,29-31,33,36,43
COL4A3	ENST00000396578	52	0		0		3	1,15,42
COL4A4	ENST00000396625	47	0		0		1	46
COL4A5	ENST00000328300	53	0		1	41	3	10,41,44
COL4A6	ENST00000334504	45	0		5	21-22,26,31,38	24	3,6,8,10-12,15-16,19-23,26-29,31,38-39,41-43,45
COL5A1	ENST00000371817	66	1	1	1	1	1	1
COL5A2	ENST00000374866	54	0		0		0	
COL6A1	ENST00000361866	35	0		0		0	
COL6A2	ENST00000300527	27	0		0		0	
COL6A2	ENST00000397763	27	0		0		1	28
COL6A3	ENST00000295550	43	0		0		2	9,36
COL6A6	ENST00000358511	36	2	29,37	2	29,37	12	3-9,11,29,33,35,37
COL7A1	ENST00000681320	118	0		0		0	
COL8A2	ENST00000397799	2	0		1	4	1	4
COL9A1	ENST00000357250	38	0		0		0	
COL9A2	ENST00000372748	32	0		0		0	
COL9A3	ENST00000649368	32	0		1	1	1	1
COLEC10	ENST00000332843	6	0		1	6	3	1,3,6
COLEC11	ENST00000349077	6	0		0		0	
COLGALT1	ENST00000252599	12	1	1	1	1	1	1
COLQ	ENST00000383788	17	0		0		0	
COMP	ENST00000222271	19	0		1	5	1	5
COMT	ENST00000361682	4	0		0		0	
COPA	ENST00000241704	33	0		0		2	18,28
COPB1	ENST00000439561	21	1	4	1	4	6	3-4,10,13,16-17
COPB2	ENST00000333188	22	2	2,8	2	2,8	7	2,5,8,11,13,15,22
COPG1	ENST00000314797	24	1	23	2	20,23	4	1,14,20,23
COQ2	ENST00000647002	7	0		1	1	2	1,5
COQ4	ENST00000300452	7	0		0		1	7
COQ5	ENST00000288532	7	0		0		0	
COQ6	ENST00000334571	12	0		0		1	11
COQ7	ENST00000321998	6	0		0		0	
COQ8A	ENST00000366777	14	0		0		0	
COQ8B	ENST00000324464	14	1	10	2	9-10	3	6,9-10
COQ9	ENST00000262507	9	0		1	1	1	1
CORIN	ENST00000273857	22	1	15	2	5,15	6	5,11-12,15,21-22
CORO1A	ENST00000219150	10	0		0		0	
COX10	ENST00000261643	7	0		0		1	7
COX11	ENST00000299335	4	0		1	1	2	1,4
COX14	ENST00000550487	1	0		0		0	
COX15	ENST00000016171	9	0		0		0	
COX16	ENST00000389912	4	0		0		1	4
COX18	ENST00000507544	6	0		0		1	1
COX20	ENST00000411948	4	0		0		1	2
COX4I1	ENST00000253452	4	0		0		1	3
COX4I2	ENST00000376075	4	0		0		0	
COX5A	ENST00000322347	4	1	1	1	1	1	1
COX6A1	ENST00000229379	3	0		0		0	
COX6A2	ENST00000287490	3	0		1	2	3	1-3
COX6B1	ENST00000649813	3	0		0		0	
COX7B	ENST00000650309	3	0		0		1	2
COX8A	ENST00000314133	2	0		0		0	
COXFA4	ENST00000339600	4	0		0		0	
CP	ENST00000264613	19	0		0		0	
CPA1	ENST00000011292	10	1	1	1	1	1	1
CPA6	ENST00000297770	11	0		0		2	7,11
CPAMD8	ENST00000443236	42	2	17,40	2	17,40	7	14-15,17,25,35,40-41
CPAP	ENST00000381884	16	0		0		0	
CPE	ENST00000402744	9	1	1	2	1,4	5	1-5
CPLANE1	ENST00000651892	52	0		2	7,33	26	5,7,9,11-12,15-21,23-26,28,31-34,40,42,44,46,52
CPLX1	ENST00000304062	3	1	4	1	4	1	4
CPN1	ENST00000370418	9	0		0		0	
CPNE6	ENST00000689861	15	1	3	2	2-3	2	2-3
CPOX	ENST00000647941	7	1	1	1	1	1	1
CPS1	ENST00000233072	38	0		0		0	
CPSF1	ENST00000616140	37	0		1	22	1	22
CPSF3	ENST00000238112	18	0		0		7	4-5,7-11
CPSF6	ENST00000435070	9	1	2	1	2	6	2-6,9
CPT1A	ENST00000265641	18	0		0		0	
CPT1C	ENST00000598293	18	0		0		2	10,12
CPT2	ENST00000371486	5	0		0		0	
CR1	ENST00000367049	47	0		4	14,33,37,41	14	2,4,8,14,16,30,33-34,37-38,40-43
CR2	ENST00000367057	19	0		0		2	2,14
CRACR2A	ENST00000440314	17	1	6	1	6	2	6,14
CRADD	ENST00000332896	2	0		0		1	2
CRAT	ENST00000318080	14	0		1	2	1	2
CRB1	ENST00000367400	12	0		1	9	2	2,9
CRB2	ENST00000373631	13	0		2	1,10	7	1-3,7,9-10,12
CRBN	ENST00000231948	11	0		0		0	
CREB1	ENST00000353267	7	0		1	6	3	5-7
CREB3L1	ENST00000621158	12	0		0		4	3,5-6,11
CREB3L3	ENST00000078445	10	0		0		1	10
CREBBP	ENST00000262367	31	0		0		0	
CREBRF	ENST00000296953	8	0		0		2	5-6
CRELD1	ENST00000452070	10	0		0		0	
CRH	ENST00000276571	1	0		0		1	2
CRIM1	ENST00000280527	17	0		1	1	8	1-2,6,9,13-14,16-17
CRIPT	ENST00000238892	5	1	3	1	3	1	3
CRIPTO	ENST00000296145	6	0		0		0	
CRLF1	ENST00000392386	9	2	1,7	2	1,7	3	1-2,7
CRLS1	ENST00000378863	7	1	1	1	1	2	1-2
CRPPA	ENST00000407010	10	1	1	1	1	3	1-2,9
CRTAP	ENST00000320954	7	0		1	1	1	1
CRTC1	ENST00000321949	14	0		0		1	8
CRX	ENST00000221996	3	0		0		0	
CRY1	ENST00000008527	12	0		1	1	3	1,5,7
CRYAA	ENST00000291554	3	0		0		0	
CRYAB	ENST00000650687	3	0		0		0	
CRYBA1	ENST00000225387	6	0		0		0	
CRYBA2	ENST00000295728	4	1	1	1	1	1	1
CRYBA4	ENST00000354760	5	0		0		0	
CRYBB1	ENST00000647684	5	0		0		0	
CRYBB2	ENST00000398215	5	0		0		0	
CRYBB3	ENST00000215855	5	0		0		0	
CRYGB	ENST00000260988	3	0		1	3	1	3
CRYGC	ENST00000282141	3	0		0		0	
CRYGD	ENST00000264376	3	0		0		0	
CRYGS	ENST00000307944	3	0		0		0	
CRYM	ENST00000572914	8	0		0		0	
CSDE1	ENST00000358528	18	1	5	1	5	3	5,14,17
CSF1R	ENST00000675795	21	0		0		1	1
CSF2RA	ENST00000381529	11	0		0		0	
CSF2RB	ENST00000403662	13	0		0		0	
CSF3	ENST00000394149	5	0		1	3	2	2-3
CSF3R	ENST00000373106	15	0		0		1	13
CSGALNACT1	ENST00000692225	7	0		0		0	
CSH1	ENST00000316193	5	0		1	2	1	2
CSMD1	ENST00000635120	70	0		3	1,13,29	28	1,4,13-17,21,24,27,29-31,40,42-43,47,50-51,53,55,57-61,64,70
CSMD3	ENST00000297405	71	0		1	7	4	7,22,24,70
CSNK1D	ENST00000314028	9	0		0		0	
CSNK1E	ENST00000396832	9	0		0		0	
CSNK1G1	ENST00000303052	11	0		0		2	5-6
CSNK1G3	ENST00000696905	13	0		0		2	2,6
CSNK2A1	ENST00000217244	12	0		0		0	
CSNK2B	ENST00000375882	6	5	2-4,6-7	6	2-7	6	2-7
CSPG4	ENST00000308508	10	0		3	1,4,10	4	1,4,8,10
CSPP1	ENST00000678616	30	1	12	4	7,12,17-18	9	3,6-8,12,14,17-18,30
CSRP3	ENST00000265968	5	0		0		0	
CST1	ENST00000304749	3	0		0		0	
CST3	ENST00000376925	3	0		1	1	1	1
CST6	ENST00000312134	3	0		0		1	2
CSTA	ENST00000264474	3	0		0		0	
CSTB	ENST00000291568	3	0		0		0	
CSTF2	ENST00000372972	13	2	2,4	3	2,4,11	8	2-6,10-11,13
CT55	ENST00000276241	6	0		1	2	2	2,4
CTBP1	ENST00000382952	9	0		1	10	1	10
CTC1	ENST00000651323	23	0		1	13	4	3,8,13,15
CTCF	ENST00000264010	10	0		1	3	4	3,7-8,12
CTDP1	ENST00000613122	13	1	1	1	1	1	1
CTF1	ENST00000279804	3	1	3	2	1,3	2	1,3
CTH	ENST00000370938	12	0		0		0	
CTHRC1	ENST00000330295	4	0		0		0	
CTLA4	ENST00000648405	4	0		1	4	2	2,4
CTNNA1	ENST00000302763	17	0		0		4	3,6,9,18
CTNNA2	ENST00000402739	18	1	16	4	12,16,18-19	6	3,9,12,16,18-19
CTNNA3	ENST00000433211	17	0		0		5	3,6,9,16,18
CTNNB1	ENST00000349496	14	0		0		0	
CTNNBL1	ENST00000361383	16	0		1	11	1	11
CTNND1	ENST00000399050	19	1	9	2	6,9	6	6-9,15,19
CTNND2	ENST00000304623	22	1	7	4	7,12,15,22	5	7,11-12,15,22
CTNS	ENST00000046640	10	0		0		0	
CTPS1	ENST00000650070	17	0		0		0	
CTR9	ENST00000361367	25	1	20	1	20	9	3,6-7,12,16,18,20,22,25
CTRC	ENST00000375949	8	0		0		0	
CTSA	ENST00000646241	14	0		0		0	
CTSB	ENST00000353047	9	0		1	7	1	7
CTSC	ENST00000227266	7	0		0		0	
CTSD	ENST00000236671	9	0		0		0	
CTSF	ENST00000310325	13	1	1	1	1	1	1
CTSK	ENST00000271651	7	0		0		0	
CTTNBP2	ENST00000160373	23	0		3	1,5,7	8	1,4-5,7-8,10,17,20
CTU2	ENST00000453996	15	0		1	5	2	1,5
CUBN	ENST00000377833	67	0		0		0	
CUL3	ENST00000264414	16	0		2	4,9	7	4-6,8-9,14,16
CUL4B	ENST00000371322	20	0		0		1	1
CUL7	ENST00000265348	25	0		0		1	4
CUX1	ENST00000292535	24	2	20,24	3	15,20,24	5	15,18,20-21,24
CUX1	ENST00000622516	23	0		0		1	11
CUX2	ENST00000261726	22	2	15,20	3	15,17,20	5	15,17,19-21
CWC27	ENST00000381070	14	1	3	2	3,5	6	2-3,5-6,10,13
CWF19L1	ENST00000354105	14	0		0		0	
CX3CR1	ENST00000399220	1	0		0		0	
CXCL12	ENST00000343575	3	0		0		1	1
CXCR1	ENST00000295683	1	0		0		0	
CXCR2	ENST00000318507	1	0		0		1	3
CXCR4	ENST00000241393	2	0		0		0	
CYB561	ENST00000360793	5	0		0		0	
CYB5A	ENST00000340533	5	0		0		0	
CYB5R3	ENST00000352397	9	1	1	1	1	1	1
CYBA	ENST00000261623	6	0		0		0	
CYBB	ENST00000378588	13	0		0		1	8
CYBC1	ENST00000306645	6	0		0		2	6-7
CYBRD1	ENST00000321348	4	0		0		1	3
CYC1	ENST00000318911	7	1	1	1	1	1	1
CYCS	ENST00000305786	2	0		0		0	
CYFIP2	ENST00000620254	30	1	3	2	3,15	3	3,11,15
CYLC1	ENST00000329312	5	1	5	3	2,4-5	4	2-5
CYLC2	ENST00000374798	5	0		0		1	4
CYLD	ENST00000427738	17	0		0		2	3,7
CYP11A1	ENST00000268053	9	0		0		0	
CYP11B1	ENST00000292427	9	0		0		0	
CYP11B2	ENST00000323110	9	0		0		0	
CYP17A1	ENST00000369887	8	0		0		0	
CYP19A1	ENST00000396402	9	0		0		0	
CYP1B1	ENST00000610745	2	0		0		0	
CYP21A2	ENST00000644719	10	1	10	4	1-3,10	9	1-8,10
CYP24A1	ENST00000216862	11	0		0		0	
CYP26B1	ENST00000001146	6	0		0		0	
CYP26C1	ENST00000651965	6	2	3,5	2	3,5	3	3,5-6
CYP27A1	ENST00000258415	9	0		0		1	5
CYP27B1	ENST00000228606	9	0		0		0	
CYP2A6	ENST00000301141	9	0		0		2	1,6
CYP2B6	ENST00000324071	9	0		0		0	
CYP2C19	ENST00000371321	9	0		0		2	4-5
CYP2C8	ENST00000371270	9	0		0		0	
CYP2C9	ENST00000260682	9	0		0		1	5
CYP2D6	ENST00000645361	9	0		1	9	5	1-3,7,9
CYP2R1	ENST00000334636	5	0		0		1	3
CYP2U1	ENST00000332884	5	1	1	1	1	4	1-2,4-5
CYP3A4	ENST00000651514	13	0		0		2	5,8
CYP3A5	ENST00000222982	13	0		0		3	5,10-11
CYP4F22	ENST00000269703	12	0		0		0	
CYP4V2	ENST00000378802	11	0		0		1	1
CYP51A1	ENST00000003100	10	1	8	2	4,8	8	3-10
CYP7A1	ENST00000301645	6	0		0		0	
CYP7B1	ENST00000310193	6	0		0		0	
CYS1	ENST00000381813	3	1	1	1	1	1	1
D2HGDH	ENST00000321264	9	0		0		0	
DAAM2	ENST00000274867	24	0		0		2	6,25
DAB1	ENST00000371236	13	0		0		2	5,12
DACH2	ENST00000373125	12	1	3	4	1,3,5-6	11	1-8,10-12
DACT1	ENST00000395153	4	0		1	1	2	1,3
DAG1	ENST00000308775	2	0		0		0	
DAGLA	ENST00000257215	19	0		0		4	12,14-15,20
DALRD3	ENST00000341949	12	1	2	1	2	2	2,10
DAND5	ENST00000317060	2	0		0		0	
DAO	ENST00000228476	10	0		0		0	
DAOA	ENST00000375936	4	0		0		2	3,5
DAP3	ENST00000368336	12	0		0		0	
DAPK1	ENST00000408954	25	0		0		2	5,24
DARS1	ENST00000264161	16	0		0		4	9-11,13
DARS2	ENST00000649689	17	0		1	13	1	13
DAW1	ENST00000309931	13	0		0		4	2-3,6,9
DAZL	ENST00000399444	11	0		0		0	
DBH	ENST00000393056	12	0		0		0	
DBR1	ENST00000260803	8	0		0		3	6-8
DBT	ENST00000370132	11	0		0		0	
DCAF13	ENST00000612750	11	0		1	8	4	1,8-9,11
DCAF15	ENST00000254337	13	2	1,13	3	1,7,13	3	1,7,13
DCAF17	ENST00000375255	14	0		1	1	2	1,8
DCAF8	ENST00000368074	12	0		0		0	
DCC	ENST00000442544	29	0		0		0	
DCDC2	ENST00000378454	10	0		0		2	7-8
DCHS1	ENST00000299441	20	0		1	10	4	6-7,10,19
DCLRE1B	ENST00000650450	4	0		0		1	3
DCLRE1C	ENST00000378278	14	0		0		0	
DCN	ENST00000052754	7	0		0		0	
DCPS	ENST00000263579	6	0		0		0	
DCT	ENST00000377028	8	0		0		2	2,8
DCTN1	ENST00000628224	32	0		0		0	
DCTN4	ENST00000447998	13	1	5	1	5	2	3,5
DCX	ENST00000636035	6	0		0		0	
DCXR	ENST00000306869	8	0		0		0	
DDB1	ENST00000301764	27	1	2	1	2	1	2
DDB2	ENST00000256996	10	0		0		0	
DDC	ENST00000444124	13	0		0		0	
DDHD1	ENST00000673822	13	0		1	1	8	1-2,4,6-7,10-11,13
DDHD2	ENST00000397166	16	0		1	8	5	5,8,10,13,16
DDOST	ENST00000602624	11	0		1	8	1	8
DDR1	ENST00000376568	17	15	3-8,10-18	17	2-18	17	2-18
DDR2	ENST00000367921	16	0		0		0	
DDRGK1	ENST00000354488	9	0		0		0	
DDX11	ENST00000542838	26	0		0		0	
DDX17	ENST00000403230	13	1	9	1	9	1	9
DDX23	ENST00000308025	16	0		0		0	
DDX25	ENST00000263576	12	0		1	1	3	1,8,11
DDX39B	ENST00000396172	10	10	2-11	10	2-11	10	2-11
DDX3X	ENST00000644876	17	1	16	3	13-14,16	12	3-4,6,8-10,12-17
DDX41	ENST00000330503	17	0		0		0	
DDX53	ENST00000327968	1	0		0		1	1
DDX54	ENST00000306014	20	0		0		1	8
DDX59	ENST00000331314	7	1	2	2	2,8	4	2-3,7-8
DDX6	ENST00000534980	12	0		0		2	2,13
DEAF1	ENST00000382409	12	1	1	1	1	1	1
DECR1	ENST00000220764	10	0		0		3	2-3,5
DEF6	ENST00000316637	11	0		0		2	2,7
DEGS1	ENST00000323699	3	0		0		1	2
DEK	ENST00000652689	10	0		0		3	2,6-7
DENND4B	ENST00000361217	27	0		0		3	15,19-20
DENND5A	ENST00000328194	23	0		0		2	5,9
DENND5B	ENST00000389082	21	1	1	2	1,3	7	1-4,6,15,20
DEPDC5	ENST00000651528	42	0		0		3	25,27,40
DES	ENST00000373960	9	0		0		0	
DGAT1	ENST00000528718	17	1	1	3	1,8-9	4	1,8-10
DGAT2	ENST00000228027	8	1	8	1	8	1	8
DGCR2	ENST00000263196	10	0		0		1	9
DGCR8	ENST00000351989	13	0		0		2	5,9
DGKE	ENST00000284061	11	0		1	5	4	4-6,12
DGUOK	ENST00000264093	7	0		0		0	
DHCR24	ENST00000371269	9	0		0		0	
DHCR7	ENST00000355527	7	0		0		0	
DHDDS	ENST00000236342	8	0		0		0	
DHFR	ENST00000439211	6	0		1	4	2	3-4
DHH	ENST00000649637	3	0		0		1	3
DHODH	ENST00000219240	9	0		0		0	
DHPS	ENST00000210060	9	0		0		0	
DHRS3	ENST00000616661	6	0		0		0	
DHRSX	ENST00000334651	7	1	1	2	1,7	2	1,7
DHTKD1	ENST00000263035	17	2	3,8	3	3-4,8	7	3-5,8,10,13,15
DHX16	ENST00000376442	20	19	1-15,17-20	20	1-20	20	1-20
DHX30	ENST00000445061	20	1	14	1	14	1	14
DHX32	ENST00000284690	11	0		1	1	6	1-4,10-11
DHX34	ENST00000328771	16	0		0		3	6-7,15
DHX37	ENST00000308736	27	0		1	21	5	1,11,18,21,26
DHX38	ENST00000268482	26	1	21	1	21	3	2,21,26
DHX9	ENST00000367549	27	1	2	2	2,12	8	2,6,12-13,15,21,24,28
DIABLO	ENST00000464942	6	0		0		0	
DIAPH1	ENST00000389054	28	0		0		0	
DIAPH2	ENST00000324765	27	2	13,22	6	1,3,7,13,22,24	21	1,3-11,13,17,19-27
DIAPH3	ENST00000400324	28	0		0		0	
DICER1	ENST00000343455	26	0		0		0	
DIO1	ENST00000361921	4	0		0		0	
DIP2A	ENST00000417564	38	0		0		2	1,16
DIP2B	ENST00000301180	38	0		0		4	15,18-19,32
DIP2C	ENST00000280886	37	1	1	1	1	3	1,5,18
DIS3L2	ENST00000325385	20	0		0		4	3,7,9,15
DISC1	ENST00000439617	13	1	11	2	6,11	3	4,6,11
DISP1	ENST00000675850	7	0		0		0	
DKC1	ENST00000369550	15	0		0		0	
DLAT	ENST00000280346	14	0		0		0	
DLC1	ENST00000276297	17	0		0		3	2,10,17
DLD	ENST00000205402	14	0		0		0	
DLG1	ENST00000667157	24	1	2	2	2,9	11	2,4,8-11,13,15,21-22,25
DLG2	ENST00000376104	26	0		1	12	6	3,8,12-13,20,28
DLG3	ENST00000374360	19	0		0		0	
DLG4	ENST00000399506	20	0		1	1	1	1
DLG4	ENST00000648172	22	0		2	4,20	2	4,20
DLG5	ENST00000372391	32	1	1	9	1,4,8,10,15-17,24,27	27	1,3-12,14-28,32
DLGAP2	ENST00000637795	15	4	1-3,9	12	1-3,5-7,9,11-15	15	1-15
DLK1	ENST00000341267	5	0		0		0	
DLL1	ENST00000366756	11	0		1	9	2	1,9
DLL3	ENST00000356433	9	1	7	2	4,7	2	4,7
DLL4	ENST00000249749	11	0		2	4,9	3	4,8-9
DLST	ENST00000334220	15	0		0		2	8,14
DLX3	ENST00000434704	3	0		0		0	
DLX4	ENST00000240306	3	1	3	1	3	2	1,3
DLX5	ENST00000648378	3	0		0		0	
DLX6	ENST00000518156	3	0		1	2	2	1-2
DMAP1	ENST00000372289	10	0		0		1	9
DMBX1	ENST00000360032	4	0		0		0	
DMC1	ENST00000216024	13	0		0		0	
DMD	ENST00000357033	79	0		3	17,48,56	8	17,28,34,43,48,56,58,70
DMGDH	ENST00000255189	16	0		1	1	1	1
DMP1	ENST00000339673	5	0		0		0	
DMPK	ENST00000291270	15	0		2	8,14	4	2,8,10,14
DMRT1	ENST00000382276	5	0		0		0	
DMRT2	ENST00000358146	3	1	2	1	2	1	2
DMRTA2	ENST00000404795	2	1	3	2	2-3	2	2-3
DMXL2	ENST00000560891	44	0		4	7,10-11,30	15	7-12,15,17-18,23-25,28-30
DNA2	ENST00000358410	21	0		1	19	10	1-4,9,12,14-15,19-20
DNAAF1	ENST00000378553	12	0		0		0	
DNAAF11	ENST00000620350	12	0		0		4	4,6,8,12
DNAAF19	ENST00000417826	3	0		0		1	4
DNAAF2	ENST00000298292	3	0		1	3	2	1,3
DNAAF3	ENST00000524407	11	0		1	5	5	5-7,11-12
DNAAF4	ENST00000321149	9	0		0		1	8
DNAAF5	ENST00000297440	13	1	1	1	1	1	1
DNAAF6	ENST00000372453	6	1	3	2	2-3	6	2-7
DNAH1	ENST00000420323	77	2	27,52	2	27,52	8	10,12-13,27,52,59-60,65
DNAH10	ENST00000673944	79	3	1,52,78	30	1,26-28,32,34-37,40-48,52,57,61,63,65-68,73,76-78	63	1,6,9,11-13,15,20-21,25-57,59-79
DNAH11	ENST00000409508	82	1	76	11	6,14-16,23,29,46,55-56,58,76	40	3,6-10,14-16,18,23,25-27,29-30,32-34,40,43,46-47,52,54-56,58-60,63,66-67,70-72,76-78,82
DNAH12	ENST00000495027	73	16	44-59	19	12,42,44-59,65	42	5,7-9,12,16,18,20,24-26,28,31-32,34,37,39-40,42-60,62,65,67-68,74
DNAH14	ENST00000682510	85	7	17,19-20,41,53,62,84	11	16-17,19-20,41,53,55,57,62,79,84	50	4-7,10-11,13,16-17,19-21,23,28-29,31-33,35-36,38-41,45,48-55,57-58,60,62,67-72,74,76-79,81,84
DNAH17	ENST00000389840	80	1	38	2	4,38	9	4,12,15,18,21,25,28,38,63
DNAH2	ENST00000572933	85	5	3,13,34,63,74	8	3,13,34,38,63,74,76-77	13	3,12-13,16,34-35,38,50,63,65,74,76-77
DNAH3	ENST00000698260	61	2	30,37	6	4,6,8,30,37,62	12	4,6,8,11,15,30,37,42,44,49,55,62
DNAH5	ENST00000265104	79	0		0		0	
DNAH6	ENST00000389394	76	0		4	4-5,29,63	34	2,4-5,8-9,13,15-16,18,22-23,28-29,31,34,36,39,42-43,45,48,50,52,54,57,59,62-64,67-70,73
DNAH7	ENST00000312428	65	0		9	7,12,16,20-21,38,43-44,59	36	5,7,9,11-14,16,18-22,24-26,30-31,33-34,38-39,41-47,49,51,53,55,59,61-62
DNAH8	ENST00000327475	92	3	46,64,70	10	13,18,27,46,52-53,64,70,76,88	54	2-4,6,8-9,11-13,18,21-22,24,26-29,34,37-38,40-46,48,51-56,59-60,63-64,69-70,74-76,79,81-82,84-85,87-91,93
DNAH9	ENST00000262442	69	2	26,53	2	26,53	16	1-2,14,16-17,26,31,42-43,50,53,56,58,60,67-68
DNAI1	ENST00000242317	20	0		0		0	
DNAI2	ENST00000311014	12	0		0		0	
DNAJA1	ENST00000330899	8	0		0		1	9
DNAJA3	ENST00000262375	11	1	1	5	1,4-6,8	10	1-6,8-11
DNAJB11	ENST00000265028	10	0		0		2	2,4
DNAJB13	ENST00000339764	8	0		0		1	4
DNAJB2	ENST00000336576	8	0		1	9	1	9
DNAJB4	ENST00000370763	3	0		1	2	2	2-3
DNAJB6	ENST00000262177	9	0		0		0	
DNAJC12	ENST00000225171	5	1	5	1	5	1	5
DNAJC13	ENST00000260818	55	0		4	22,30,32,54	19	4,6,13,15,22-24,30,32,36-38,40-41,43-44,49,51,54
DNAJC16	ENST00000375847	14	1	9	2	4,9	6	4-5,7,9-10,15
DNAJC19	ENST00000382564	6	0		0		0	
DNAJC21	ENST00000648817	12	0		1	1	4	1,4,10,12
DNAJC3	ENST00000602402	12	0		0		2	6,10
DNAJC30	ENST00000395176	1	0		0		1	1
DNAJC5	ENST00000360864	4	0		0		0	
DNAJC6	ENST00000371069	19	0		2	1,7	8	1,7,9-10,12-13,16,18
DNAJC7	ENST00000457167	14	0		0		2	8,12
DNAL1	ENST00000553645	8	0		1	3	2	3,6
DNAL4	ENST00000216068	3	0		0		0	
DNALI1	ENST00000652629	6	0		0		0	
DNASE1	ENST00000246949	8	0		0		0	
DNASE1L3	ENST00000394549	8	0		0		0	
DNASE2	ENST00000222219	6	0		0		0	
DNHD1	ENST00000254579	41	0		3	8,16,37	4	6,8,16,37
DNM1	ENST00000372923	22	0		0		0	
DNM1	ENST00000486160	22	1	21	3	8-9,21	4	7-9,21
DNM1L	ENST00000549701	20	0		0		0	
DNM1L	ENST00000553257	21	0		0		0	
DNM2	ENST00000389253	21	0		1	1	1	1
DNMBP	ENST00000324109	16	0		0		4	3,13,16-17
DNMT1	ENST00000359526	41	0		0		1	25
DNMT3A	ENST00000321117	22	0		0		2	3-4
DNMT3B	ENST00000328111	22	0		0		0	
DOCK11	ENST00000276202	53	2	8,50	14	7-8,15,17,30-31,41-42,46,48-51,53	44	1,4-13,15-17,19-25,27-32,34-36,38-42,45-53
DOCK2	ENST00000520908	52	3	4,18,35	3	4,18,35	7	4,12,18,22,35-36,45
DOCK3	ENST00000266037	53	1	1	2	1,53	11	1,4,9,15-16,18-19,24,30-31,53
DOCK4	ENST00000428084	53	3	7,19,22	4	7,19,22,53	14	5,7,12,15,17,19,22,31,36,41,43,50-51,53
DOCK6	ENST00000294618	48	1	1	1	1	3	1,6,21
DOCK7	ENST00000635253	50	2	1,18	2	1,18	16	1,3,12,15,18,21-22,26,28,30-33,36,40,49
DOCK8	ENST00000432829	48	0		0		0	
DOCK9	ENST00000682017	53	1	39	2	11,39	8	7-8,11,30,35,39,47,50
DOHH	ENST00000427575	4	0		1	4	1	4
DOK7	ENST00000340083	7	0		0		2	1,5
DOLK	ENST00000372586	1	0		0		0	
DONSON	ENST00000303071	10	2	1,10	3	1,3,10	5	1,3-5,10
DOP1A	ENST00000349129	37	1	29	4	6,16,29,39	18	4-7,9,11,14,16-18,20,22-23,29,31-32,34,39
DOT1L	ENST00000398665	28	0		2	1,23	6	1,13,21,23-25
DPAGT1	ENST00000354202	9	0		0		0	
DPF2	ENST00000528416	11	0		0		1	3
DPH1	ENST00000263083	12	0		1	6	1	6
DPH2	ENST00000255108	6	0		0		0	
DPH5	ENST00000370109	7	1	7	1	7	2	4,7
DPM1	ENST00000371588	9	0		0		0	
DPM2	ENST00000314392	4	0		1	3	1	3
DPM3	ENST00000368400	1	0		0		0	
DPP6	ENST00000377770	26	1	1	1	1	2	1,6
DPP9	ENST00000262960	20	0		1	16	3	4,12,16
DPY19L2	ENST00000324472	22	0		2	14,19	10	1,4-6,8,14,18-19,21-22
DPYD	ENST00000370192	23	0		1	6	1	6
DPYS	ENST00000351513	9	0		0		1	1
DPYSL2	ENST00000521913	14	0		0		2	1,10
DPYSL5	ENST00000288699	12	0		0		1	2
