gene	transcript	n_cds_exons	dead_10x_n	dead_10x_exons	dead_20x_n	dead_20x_exons	dead_30x_n	dead_30x_exons	cds_len	dead_10x_len	dead_10x_pct	dead_20x_len	dead_20x_pct	dead_30x_len	dead_30x_pct
CCN3	ENST00000259526	5	0		0		1	4	1174	0	0.0	0	0.0	235	20.0
CCN6	ENST00000368666	5	0		0		0		1165	0	0.0	0	0.0	0	0.0
CCNA2	ENST00000274026	8	0		0		2	3,5	1459	0	0.0	0	0.0	361	24.7
CCND1	ENST00000227507	5	1	5	1	5	1	5	988	185	18.7	185	18.7	185	18.7
CCND2	ENST00000261254	5	0		0		0		970	0	0.0	0	0.0	0	0.0
CCNF	ENST00000397066	17	1	1	1	1	2	1,17	2701	36	1.3	36	1.3	532	19.7
CCNK	ENST00000389879	10	1	11	1	11	2	4,11	1943	646	33.2	646	33.2	798	41.1
CCNO	ENST00000282572	3	0		0		1	3	1113	0	0.0	0	0.0	506	45.5
CCNP	ENST00000430325	5	0		0		1	5	1024	0	0.0	0	0.0	272	26.6
CCNQ	ENST00000576892	5	1	1	1	1	1	1	847	132	15.6	132	15.6	132	15.6
CCP110	ENST00000694978	13	0		0		4	2,4,6,9	3236	0	0.0	0	0.0	2149	66.4
CCR2	ENST00000445132	1	0		0		0		1103	0	0.0	0	0.0	0	0.0
CCR5	ENST00000292303	1	0		0		1	2	1079	0	0.0	0	0.0	1079	100.0
CCR6	ENST00000341935	2	0		0		0		1165	0	0.0	0	0.0	0	0.0
CCT2	ENST00000299300	16	0		0		3	9,15,16	1928	0	0.0	0	0.0	361	18.7
CCT3	ENST00000295688	14	0		1	1	2	1,11	1918	0	0.0	51	2.7	252	13.1
CCT4	ENST00000394440	14	0		0		1	8	1900	0	0.0	0	0.0	160	8.4
CCT5	ENST00000280326	11	0		0		0		1846	0	0.0	0	0.0	0	0.0
CCT6A	ENST00000275603	14	1	6	1	6	5	4,6,7,8,11	1876	131	7.0	131	7.0	762	40.6
CCT7	ENST00000258091	12	0		0		1	8	1872	0	0.0	0	0.0	209	11.2
CCT8	ENST00000286788	15	0		0		2	3,8	1947	0	0.0	0	0.0	299	15.4
CD151	ENST00000397420	7	1	3	1	3	1	3	902	104	11.5	104	11.5	104	11.5
CD164	ENST00000310786	6	0		0		0		714	0	0.0	0	0.0	0	0.0
CD177	ENST00000618265	9	0		1	9	1	9	1494	0	0.0	253	16.9	253	16.9
CD19	ENST00000538922	14	0		0		0		1951	0	0.0	0	0.0	0	0.0
CD1A	ENST00000289429	6	0		0		2	3,4	1104	0	0.0	0	0.0	598	54.2
CD207	ENST00000410009	6	1	3	1	3	3	3,4,6	1107	395	35.7	395	35.7	738	66.7
CD209	ENST00000315599	7	0		0		0		1355	0	0.0	0	0.0	0	0.0
CD244	ENST00000368034	9	0		0		1	2	1278	0	0.0	0	0.0	338	26.4
CD247	ENST00000362089	8	0		0		0		655	0	0.0	0	0.0	0	0.0
CD27	ENST00000266557	6	0		0		1	6	903	0	0.0	0	0.0	145	16.1
CD274	ENST00000381577	6	0		1	3	1	3	993	0	0.0	362	36.5	362	36.5
CD28	ENST00000324106	4	0		1	2	1	2	743	0	0.0	377	50.7	377	50.7
CD2AP	ENST00000359314	18	0		0		0		2280	0	0.0	0	0.0	0	0.0
CD320	ENST00000301458	5	0		0		0		949	0	0.0	0	0.0	0	0.0
CD36	ENST00000447544	12	0		0		0		1659	0	0.0	0	0.0	0	0.0
CD3D	ENST00000300692	5	0		0		0		616	0	0.0	0	0.0	0	0.0
CD3E	ENST00000361763	8	0		0		0		784	0	0.0	0	0.0	0	0.0
CD3G	ENST00000532917	6	0		0		0		669	0	0.0	0	0.0	0	0.0
CD4	ENST00000011653	9	0		0		0		1557	0	0.0	0	0.0	0	0.0
CD40	ENST00000372285	9	0		0		0		1014	0	0.0	0	0.0	0	0.0
CD40LG	ENST00000370629	5	0		0		2	2,5	886	0	0.0	0	0.0	549	62.0
CD44	ENST00000428726	18	0		0		1	3	2589	0	0.0	0	0.0	154	5.9
CD46	ENST00000367042	12	0		0		0		1374	0	0.0	0	0.0	0	0.0
CD55	ENST00000367064	10	0		2	3,6	3	2,3,6	1346	0	0.0	421	31.3	627	46.6
CD59	ENST00000642928	3	0		0		0		447	0	0.0	0	0.0	0	0.0
CD70	ENST00000245903	3	0		0		1	3	642	0	0.0	0	0.0	406	63.2
CD79A	ENST00000221972	5	0		0		0		781	0	0.0	0	0.0	0	0.0
CD79B	ENST00000006750	6	0		0		0		810	0	0.0	0	0.0	0	0.0
CD80	ENST00000264246	5	0		0		2	3,4	967	0	0.0	0	0.0	640	66.2
CD81	ENST00000263645	8	0		1	1	1	1	871	0	0.0	86	9.9	86	9.9
CD8A	ENST00000283635	6	0		1	3	1	3	828	0	0.0	131	15.8	131	15.8
CD93	ENST00000246006	2	0		0		1	1	1999	0	0.0	0	0.0	1954	97.7
CD96	ENST00000352690	14	0		0		0		1990	0	0.0	0	0.0	0	0.0
CD99L2	ENST00000370377	11	1	6	1	6	3	1,6,7	1009	104	10.3	104	10.3	277	27.5
CDAN1	ENST00000356231	28	0		1	2	2	1,2	4244	0	0.0	499	11.8	609	14.3
CDC123	ENST00000281141	13	0		0		2	9,12	1271	0	0.0	0	0.0	301	23.7
CDC14A	ENST00000336454	16	1	6	2	6,11	4	2,6,11,15	2105	87	4.1	267	12.7	732	34.8
CDC20	ENST00000310955	10	0		0		0		1700	0	0.0	0	0.0	0	0.0
CDC25C	ENST00000323760	13	0		0		1	7	1682	0	0.0	0	0.0	176	10.5
CDC40	ENST00000307731	15	0		0		4	4,5,7,14	2040	0	0.0	0	0.0	589	28.9
CDC42	ENST00000656825	5	0		1	4	1	4	676	0	0.0	130	19.2	130	19.2
CDC42BPB	ENST00000361246	37	1	25	2	1,25	4	1,10,25,35	5876	157	2.7	352	6.0	665	11.3
CDC42EP1	ENST00000249014	2	0		2	2,3	2	2,3	1216	0	0.0	1216	100.0	1216	100.0
CDC45	ENST00000263201	18	0		0		2	14,15	2061	0	0.0	0	0.0	263	12.8
CDC5L	ENST00000371477	16	0		0		6	8,9,10,13,15,16	2729	0	0.0	0	0.0	1182	43.3
CDC6	ENST00000209728	11	0		0		0		1903	0	0.0	0	0.0	0	0.0
CDC7	ENST00000234626	11	0		3	9,11,12	6	3,4,5,9,11,12	1945	0	0.0	784	40.3	1158	59.5
CDC73	ENST00000367435	17	0		0		0		1936	0	0.0	0	0.0	0	0.0
CDCA7	ENST00000306721	10	0		0		1	1	1553	0	0.0	0	0.0	41	2.6
CDH1	ENST00000261769	16	0		0		0		2969	0	0.0	0	0.0	0	0.0
CDH11	ENST00000268603	11	0		0		5	4,6,7,8,13	2611	0	0.0	0	0.0	1502	57.5
CDH12	ENST00000382254	11	0		2	6,9	8	6,7,8,9,10,12,14,15	2605	0	0.0	523	20.1	2059	79.0
CDH13	ENST00000567109	14	0		2	9,11	7	3,4,7,9,10,11,12	2422	0	0.0	366	15.1	1459	60.2
CDH15	ENST00000289746	14	0		0		1	2	2725	0	0.0	0	0.0	179	6.6
CDH2	ENST00000269141	16	0		1	1	7	1,2,5,6,10,11,12	3041	0	0.0	80	2.6	1244	40.9
CDH22	ENST00000537909	11	0		2	2,12	2	2,12	2707	0	0.0	867	32.0	867	32.0
CDH23	ENST00000224721	69	0		3	7,48,70	10	7,16,38,41,48,50,51,56,61,70	11445	0	0.0	1041	9.1	2672	23.3
CDH3	ENST00000264012	16	0		0		1	13	2810	0	0.0	0	0.0	227	8.1
CDH4	ENST00000614565	16	1	12	4	1,8,10,12	9	1,6,8,9,10,11,12,13,16	3071	254	8.3	763	24.8	1778	57.9
CDH6	ENST00000265071	11	0		2	3,5	8	3,4,5,6,7,9,10,12	2593	0	0.0	503	19.4	1916	73.9
CDH8	ENST00000577390	11	0		4	5,6,9,10	8	3,5,6,8,9,10,11,12	2620	0	0.0	676	25.8	1934	73.8
CDHR1	ENST00000623527	17	0		0		0		2920	0	0.0	0	0.0	0	0.0
CDIN1	ENST00000566621	11	0		0		1	10	1066	0	0.0	0	0.0	126	11.8
CDK10	ENST00000353379	13	0		0		0		1343	0	0.0	0	0.0	0	0.0
CDK12	ENST00000447079	14	1	2	2	2,6	5	2,3,4,6,14	4753	905	19.0	1115	23.5	2205	46.4
CDK13	ENST00000181839	14	1	1	3	1,2,14	6	1,2,5,10,11,14	4819	1231	25.5	2782	57.7	3262	67.7
CDK16	ENST00000357227	15	0		0		1	8	1791	0	0.0	0	0.0	83	4.6
CDK18	ENST00000429964	15	0		0		0		1725	0	0.0	0	0.0	0	0.0
CDK19	ENST00000368911	13	0		1	12	3	5,7,12	1769	0	0.0	287	16.2	529	29.9
CDK20	ENST00000325303	8	1	8	1	8	1	8	1201	218	18.2	218	18.2	218	18.2
CDK4	ENST00000257904	7	0		0		0		1052	0	0.0	0	0.0	0	0.0
CDK5	ENST00000485972	12	0		0		0		1119	0	0.0	0	0.0	0	0.0
CDK5R2	ENST00000302625	1	1	1	1	1	1	1	1124	1124	100.0	1124	100.0	1124	100.0
CDK5RAP1	ENST00000346416	13	0		2	2,13	3	2,10,13	2024	0	0.0	485	24.0	561	27.7
CDK5RAP2	ENST00000349780	38	0		0		0		6442	0	0.0	0	0.0	0	0.0
CDK6	ENST00000424848	7	0		0		3	2,4,5	1121	0	0.0	0	0.0	571	50.9
CDK8	ENST00000381527	13	0		0		3	6,7,8	1655	0	0.0	0	0.0	406	24.5
CDK9	ENST00000373264	7	0		0		0		1259	0	0.0	0	0.0	0	0.0
CDKAL1	ENST00000274695	14	0		0		3	3,11,12	2020	0	0.0	0	0.0	560	27.7
CDKL5	ENST00000623535	17	0		0		2	12,18	3223	0	0.0	0	0.0	1394	43.3
CDKN1A	ENST00000244741	2	0		0		0		535	0	0.0	0	0.0	0	0.0
CDKN1B	ENST00000228872	2	0		0		0		637	0	0.0	0	0.0	0	0.0
CDKN1C	ENST00000440480	2	1	2	2	2,3	2	2,3	958	807	84.2	958	100.0	958	100.0
CDKN2A	ENST00000304494	3	0		0		0		531	0	0.0	0	0.0	0	0.0
CDKN2A	ENST00000579755	2	0		0		0		439	0	0.0	0	0.0	0	0.0
CDKN2B	ENST00000276925	2	0		0		0		457	0	0.0	0	0.0	0	0.0
CDO1	ENST00000250535	5	0		1	4	2	3,4	703	0	0.0	190	27.0	365	51.9
CDON	ENST00000531738	19	0		0		0		4175	0	0.0	0	0.0	0	0.0
CDSN	ENST00000376288	2	2	1,2	2	1,2	2	1,2	1630	1630	100.0	1630	100.0	1630	100.0
CDT1	ENST00000301019	10	1	1	1	1	1	1	1841	248	13.5	248	13.5	248	13.5
CEACAM16	ENST00000587331	6	0		1	3	4	3,4,5,6	1398	0	0.0	365	26.1	1310	93.7
CEACAM3	ENST00000357396	7	0		0		1	2	899	0	0.0	0	0.0	380	42.3
CEACAM6	ENST00000199764	5	0		0		3	2,3,4	1135	0	0.0	0	0.0	954	84.1
CEBPA	ENST00000498907	1	1	1	1	1	1	1	1097	1097	100.0	1097	100.0	1097	100.0
CEBPE	ENST00000206513	2	0		0		0		886	0	0.0	0	0.0	0	0.0
CEL	ENST00000372080	11	1	11	1	11	1	11	2482	798	32.2	798	32.2	798	32.2
CELA2A	ENST00000359621	8	0		0		0		970	0	0.0	0	0.0	0	0.0
CELF2	ENST00000633077	13	1	9	2	7,9	3	1,7,9	1826	155	8.5	334	18.3	428	23.4
CELF4	ENST00000420428	12	0		1	8	4	1,2,7,8	1701	0	0.0	170	10.0	747	43.9
CELSR1	ENST00000674500	35	1	1	1	1	4	1,2,12,13	9760	3564	36.5	3564	36.5	4580	46.9
CELSR2	ENST00000271332	34	0		2	10,33	3	8,10,33	9452	0	0.0	563	6.0	709	7.5
CELSR3	ENST00000164024	35	2	3,6	3	2,3,6	4	2,3,6,34	10639	424	4.0	1095	10.3	2001	18.8
CEMIP	ENST00000394685	28	0		0		0		4646	0	0.0	0	0.0	0	0.0
CENATAC	ENST00000334418	11	0		0		1	9	1219	0	0.0	0	0.0	110	9.0
CENPE	ENST00000265148	49	1	3	6	3,22,24,27,36,42	27	3,11,12,13,14,18,20,22,23,24,26,27,28,29,30,31,32,33,34,36,37,38,40,42,43,47,48	9086	110	1.2	1470	16.2	6141	67.6
CENPF	ENST00000366955	19	0		0		8	3,6,7,15,16,17,18,19	9725	0	0.0	0	0.0	2010	20.7
CENPI	ENST00000682095	20	1	16	4	5,11,16,17	13	3,4,5,7,9,10,11,12,13,14,16,17,18	2671	115	4.3	598	22.4	1866	69.9
CENPQ	ENST00000335783	8	0		0		3	5,6,7	967	0	0.0	0	0.0	379	39.2
CENPT	ENST00000562787	13	0		0		2	10,14	1946	0	0.0	0	0.0	360	18.5
CEP104	ENST00000378230	21	0		1	14	1	14	3198	0	0.0	227	7.1	227	7.1
CEP112	ENST00000535342	26	1	10	1	10	7	2,3,4,10,11,13,20	3388	120	3.5	120	3.5	1167	34.4
CEP120	ENST00000306467	20	0		1	12	8	4,5,9,10,11,12,19,20	3361	0	0.0	117	3.5	1437	42.8
CEP131	ENST00000450824	25	2	3,12	2	3,12	2	3,12	3743	318	8.5	318	8.5	318	8.5
CEP135	ENST00000257287	24	0		1	3	12	2,3,4,5,8,10,11,12,13,17,21,22	3903	0	0.0	211	5.4	2290	58.7
CEP152	ENST00000380950	26	0		1	20	2	20,22	5653	0	0.0	671	11.9	859	15.2
CEP164	ENST00000278935	31	0		1	27	4	6,8,9,27	5003	0	0.0	243	4.9	927	18.5
CEP170	ENST00000366542	19	1	3	12	3,4,5,6,7,8,9,10,11,12,13,14	16	2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20	5135	110	2.1	4046	78.8	4786	93.2
CEP170B	ENST00000414716	18	0		2	8,12	4	8,11,12,19	5025	0	0.0	2218	44.1	2597	51.7
CEP19	ENST00000409690	2	0		0		1	3	532	0	0.0	0	0.0	382	71.8
CEP250	ENST00000397527	32	0		2	4,26	3	4,13,26	7969	0	0.0	575	7.2	774	9.7
CEP290	ENST00000552810	53	1	32	4	12,22,31,32	11	6,12,13,15,22,28,31,32,37,38,54	8500	185	2.2	974	11.5	2396	28.2
CEP295	ENST00000325212	29	0		2	12,21	11	7,9,10,12,16,17,18,21,23,24,25	8386	0	0.0	393	4.7	2560	30.5
CEP41	ENST00000223208	11	0		0		0		1342	0	0.0	0	0.0	0	0.0
CEP43	ENST00000366847	13	0		1	8	4	1,5,8,12	1460	0	0.0	247	16.9	644	44.1
CEP55	ENST00000371485	8	1	8	2	6,8	5	3,5,6,8,9	1555	146	9.4	480	30.9	1171	75.3
CEP57	ENST00000325542	11	0		0		1	9	1723	0	0.0	0	0.0	262	15.2
CEP63	ENST00000675561	14	0		0		0		2392	0	0.0	0	0.0	0	0.0
CEP68	ENST00000377990	5	1	2	1	2	2	2,6	2374	377	15.9	377	15.9	567	23.9
CEP76	ENST00000262127	12	0		1	10	4	5,7,8,10	2220	0	0.0	354	15.9	918	41.4
CEP78	ENST00000643273	17	0		1	16	5	1,5,13,14,16	2458	0	0.0	282	11.5	1129	45.9
CEP83	ENST00000397809	15	1	15	3	8,15,16	6	3,6,7,8,15,16	2406	124	5.2	486	20.2	1103	45.8
CEP85L	ENST00000368491	13	0		0		7	2,5,6,7,11,12,13	2678	0	0.0	0	0.0	1254	46.8
CEP89	ENST00000305768	19	1	1	2	1,4	3	1,4,5	2732	59	2.2	266	9.7	389	14.2
CERKL	ENST00000410087	13	0		0		0		1859	0	0.0	0	0.0	0	0.0
CERS1	ENST00000623882	7	2	1,7	2	1,7	3	1,4,7	1193	332	27.8	332	27.8	514	43.1
CERS3	ENST00000679737	10	0		1	11	2	9,11	1352	0	0.0	174	12.9	323	23.9
CERT1	ENST00000643780	17	0		0		6	1,2,5,7,13,17	2215	0	0.0	0	0.0	909	41.0
CES1	ENST00000360526	14	0		0		4	8,9,11,12	1987	0	0.0	0	0.0	540	27.2
CETP	ENST00000200676	16	0		0		0		1802	0	0.0	0	0.0	0	0.0
CFAP184	ENST00000310085	1	0		1	1	1	1	1688	0	0.0	1688	100.0	1688	100.0
CFAP206	ENST00000369562	12	0		0		5	5,6,8,10,11	2109	0	0.0	0	0.0	903	42.8
CFAP221	ENST00000413369	23	1	4	1	4	4	2,4,8,18	2983	107	3.6	107	3.6	574	19.2
CFAP251	ENST00000288912	21	0		1	3	4	2,3,8,11	3870	0	0.0	389	10.1	1100	28.4
CFAP276	ENST00000369948	5	0		0		0		610	0	0.0	0	0.0	0	0.0
CFAP298	ENST00000290155	7	1	6	1	6	2	6,7	1013	116	11.5	116	11.5	247	24.4
CFAP300	ENST00000434758	7	0		1	1	4	1,3,4,5	944	0	0.0	130	13.8	606	64.2
CFAP410	ENST00000339818	7	0		0		2	4,6	911	0	0.0	0	0.0	367	40.3
CFAP418	ENST00000286688	6	0		0		0		744	0	0.0	0	0.0	0	0.0
CFAP43	ENST00000357060	38	1	17	1	17	11	2,4,6,8,14,17,23,34,35,36,38	5758	168	2.9	168	2.9	2059	35.8
CFAP44	ENST00000393845	34	2	17,23	8	5,7,12,16,17,23,27,33	21	3,4,5,7,9,10,12,13,15,16,17,18,19,21,23,26,27,28,33,34,35	6245	483	7.7	1610	25.8	4308	69.0
CFAP45	ENST00000368099	12	0		0		0		1896	0	0.0	0	0.0	0	0.0
CFAP46	ENST00000368586	58	0		2	28,48	8	11,18,20,24,28,48,55,58	9308	0	0.0	334	3.6	1768	19.0
CFAP47	ENST00000378653	64	20	17,18,19,20,21,22,23,24,25,33,36,37,38,39,40,41,42,43,44,45	48	1,5,6,7,8,9,12,14,16,17,18,19,20,21,22,23,24,25,26,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,54,56,58,59,61,62,64	63	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64	10844	3038	28.0	8346	77.0	10725	98.9
CFAP52	ENST00000352665	14	0		0		2	4,14	2143	0	0.0	0	0.0	345	16.1
CFAP53	ENST00000398545	8	1	7	1	7	3	3,4,7	1705	123	7.2	123	7.2	641	37.6
CFAP54	ENST00000524981	67	1	28	6	14,20,22,26,28,47	36	1,3,4,6,9,10,11,13,14,16,19,20,22,23,24,26,27,28,30,31,33,35,36,40,44,45,47,53,54,55,56,60,61,62,63,64	10631	135	1.3	926	8.7	6395	60.2
CFAP57	ENST00000372492	22	0		2	13,15	4	13,15,17,23	4193	0	0.0	387	9.2	801	19.1
CFAP58	ENST00000369704	18	0		0		4	2,5,9,17	2979	0	0.0	0	0.0	883	29.6
CFAP61	ENST00000245957	26	3	3,12,24	3	3,12,24	5	3,12,22,23,24	4234	343	8.1	343	8.1	1004	23.7
CFAP65	ENST00000341552	33	1	13	2	13,19	4	3,5,13,19	6438	380	5.9	529	8.2	907	14.1
CFAP69	ENST00000389297	23	0		2	11,13	7	8,11,13,15,18,22,23	3286	0	0.0	327	10.0	1138	34.6
CFAP70	ENST00000355577	27	0		0		6	6,10,11,15,22,23	3906	0	0.0	0	0.0	1076	27.5
CFAP74	ENST00000682832	38	1	9	2	7,9	7	3,7,9,26,34,36,37	5680	123	2.2	317	5.6	1203	21.2
CFAP91	ENST00000273390	17	0		0		2	3,15	2644	0	0.0	0	0.0	347	13.1
CFB	ENST00000425368	18	1	3	16	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18	18	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	2655	206	7.8	2488	93.7	2655	100.0
CFC1	ENST00000259216	6	0		0		0		792	0	0.0	0	0.0	0	0.0
CFD	ENST00000327726	5	1	2	1	2	3	2,4,5	862	177	20.5	177	20.5	622	72.2
CFH	ENST00000367429	22	0		1	16	1	16	4136	0	0.0	203	4.9	203	4.9
CFHR1	ENST00000320493	6	0		0		0		1113	0	0.0	0	0.0	0	0.0
CFHR2	ENST00000367415	5	0		1	4	3	2,4,5	913	0	0.0	203	22.2	638	69.9
CFHR3	ENST00000367425	6	0		0		0		1113	0	0.0	0	0.0	0	0.0
CFHR4	ENST00000608469	10	0		3	3,6,8	8	1,2,3,4,5,6,7,8	1937	0	0.0	618	31.9	1517	78.3
CFHR5	ENST00000256785	10	0		0		0		1910	0	0.0	0	0.0	0	0.0
CFI	ENST00000394634	13	0		0		0		2012	0	0.0	0	0.0	0	0.0
CFL2	ENST00000298159	4	0		0		0		581	0	0.0	0	0.0	0	0.0
CFP	ENST00000396992	9	0		0		0		1590	0	0.0	0	0.0	0	0.0
CFTR	ENST00000003084	27	0		0		2	4,14	4983	0	0.0	0	0.0	980	19.7
CHADL	ENST00000216241	6	1	3	1	3	1	3	2409	1730	71.8	1730	71.8	1730	71.8
CHAF1A	ENST00000301280	15	2	1,11	2	1,11	4	1,11,13,15	3171	185	5.8	185	5.8	796	25.1
CHAF1B	ENST00000314103	13	0		0		2	6,12	1940	0	0.0	0	0.0	569	29.3
CHAMP1	ENST00000361283	1	0		0		0		2459	0	0.0	0	0.0	0	0.0
CHAT	ENST00000337653	15	0		0		0		2547	0	0.0	0	0.0	0	0.0
CHCHD1	ENST00000372833	3	0		0		0		417	0	0.0	0	0.0	0	0.0
CHCHD10	ENST00000484558	4	1	2	1	2	3	1,2,3	509	240	47.2	240	47.2	469	92.1
CHCHD2	ENST00000395422	4	0		1	3	1	3	536	0	0.0	165	30.8	165	30.8
CHCHD6	ENST00000290913	8	0		0		1	1	868	0	0.0	0	0.0	107	12.3
CHD1	ENST00000614616	35	0		4	12,19,33,36	18	7,8,9,10,12,14,15,16,17,19,20,23,26,28,32,33,35,36	5833	0	0.0	890	15.3	3642	62.4
CHD1L	ENST00000369258	23	1	13	1	13	6	1,2,8,13,15,16	3154	135	4.3	135	4.3	946	30.0
CHD2	ENST00000394196	38	1	34	1	34	11	9,12,16,17,18,19,25,26,34,38,39	6247	155	2.5	155	2.5	2384	38.2
CHD3	ENST00000330494	40	0		4	5,13,18,40	12	3,4,5,6,10,13,16,18,19,33,34,40	6803	0	0.0	760	11.2	2059	30.3
CHD4	ENST00000544040	39	0		3	11,27,31	6	2,11,15,19,27,31	6519	0	0.0	517	7.9	1043	16.0
CHD5	ENST00000262450	41	0		4	9,30,31,39	7	1,5,9,30,31,38,39	6685	0	0.0	771	11.5	1345	20.1
CHD7	ENST00000423902	37	3	3,31,34	7	3,12,19,22,31,33,34	17	3,11,12,14,15,18,19,21,22,23,25,31,32,33,34,35,38	9734	1607	16.5	2539	26.1	5200	53.4
CHD8	ENST00000646647	37	3	11,29,35	5	11,23,29,34,35	14	4,5,11,13,15,16,18,19,22,23,29,30,34,35	8486	367	4.3	910	10.7	3004	35.4
CHEK1	ENST00000438015	12	0		0		5	3,6,7,8,10	1671	0	0.0	0	0.0	892	53.4
CHEK2	ENST00000404276	14	0		0		0		1912	0	0.0	0	0.0	0	0.0
CHGA	ENST00000216492	8	2	1,7	3	1,6,7	6	1,2,4,6,7,8	1534	568	37.0	1041	67.9	1301	84.8
CHI3L1	ENST00000255409	10	0		0		0		1352	0	0.0	0	0.0	0	0.0
CHIC2	ENST00000263921	6	0		0		1	3	618	0	0.0	0	0.0	176	28.5
CHIT1	ENST00000367229	11	0		0		0		1621	0	0.0	0	0.0	0	0.0
CHKA	ENST00000265689	12	1	1	1	1	1	1	1614	370	22.9	370	22.9	370	22.9
CHKB	ENST00000406938	11	0		0		0		1408	0	0.0	0	0.0	0	0.0
CHL1	ENST00000256509	26	0		0		12	5,7,10,12,14,16,20,21,24,25,26,27	4195	0	0.0	0	0.0	2100	50.1
CHLSN	ENST00000397098	4	0		0		0		665	0	0.0	0	0.0	0	0.0
CHM	ENST00000357749	15	0		1	9	3	5,7,9	2262	0	0.0	98	4.3	647	28.6
CHMP1A	ENST00000397901	7	0		0		2	2,7	731	0	0.0	0	0.0	82	11.2
CHMP1B	ENST00000526991	1	0		0		0		620	0	0.0	0	0.0	0	0.0
CHMP2B	ENST00000263780	6	0		0		0		762	0	0.0	0	0.0	0	0.0
CHMP3	ENST00000263856	6	0		0		0		789	0	0.0	0	0.0	0	0.0
CHMP4B	ENST00000217402	5	0		0		1	1	775	0	0.0	0	0.0	210	27.1
CHMP4C	ENST00000297265	5	0		0		2	2,3	802	0	0.0	0	0.0	333	41.5
CHN1	ENST00000409900	13	1	13	2	6,13	5	6,9,11,12,13	1640	192	11.7	501	30.5	979	59.7
CHP1	ENST00000334660	7	0		0		0		728	0	0.0	0	0.0	0	0.0
CHRD	ENST00000204604	23	1	1	1	1	2	1,13	3328	168	5.0	168	5.0	345	10.4
CHRDL1	ENST00000372042	11	0		1	10	11	2,3,4,5,6,7,8,9,10,11,12	1597	0	0.0	188	11.8	1597	100.0
CHRFAM7A	ENST00000299847	8	1	10	1	10	2	3,10	1399	539	38.5	539	38.5	592	42.3
CHRM1	ENST00000306960	1	0		0		0		1403	0	0.0	0	0.0	0	0.0
CHRM2	ENST00000680005	1	0		0		0		1421	0	0.0	0	0.0	0	0.0
CHRM3	ENST00000676153	1	0		0		0		1793	0	0.0	0	0.0	0	0.0
CHRNA1	ENST00000348749	9	0		0		0		1554	0	0.0	0	0.0	0	0.0
CHRNA2	ENST00000407991	6	0		0		0		1710	0	0.0	0	0.0	0	0.0
CHRNA3	ENST00000326828	6	1	6	2	1,6	2	1,6	1638	149	9.1	251	15.3	251	15.3
CHRNA4	ENST00000370263	6	0		0		1	5	2004	0	0.0	0	0.0	1395	69.6
CHRNA5	ENST00000299565	6	1	1	1	1	4	1,4,5,6	1527	126	8.3	126	8.3	1290	84.5
CHRNA7	ENST00000306901	10	0		2	1,4	3	1,2,4	1709	0	0.0	205	12.0	365	21.4
CHRNB1	ENST00000306071	11	0		0		0		1726	0	0.0	0	0.0	0	0.0
CHRNB2	ENST00000368476	6	0		0		0		1629	0	0.0	0	0.0	0	0.0
CHRNB3	ENST00000289957	6	0		0		1	2	1497	0	0.0	0	0.0	172	11.5
CHRNB4	ENST00000261751	6	1	6	2	5,6	2	5,6	1617	179	11.1	1178	72.9	1178	72.9
CHRND	ENST00000258385	12	0		0		0		1794	0	0.0	0	0.0	0	0.0
CHRNE	ENST00000649488	12	0		0		0		1722	0	0.0	0	0.0	0	0.0
CHRNG	ENST00000651502	12	0		0		0		1794	0	0.0	0	0.0	0	0.0
CHST11	ENST00000303694	3	0		0		0		1119	0	0.0	0	0.0	0	0.0
CHST14	ENST00000306243	1	0		1	1	1	1	1151	0	0.0	1151	100.0	1151	100.0
CHST2	ENST00000309575	1	1	2	1	2	1	2	1613	1613	100.0	1613	100.0	1613	100.0
CHST3	ENST00000373115	2	0		0		0		1480	0	0.0	0	0.0	0	0.0
CHST6	ENST00000332272	1	0		0		0		1208	0	0.0	0	0.0	0	0.0
CHST8	ENST00000650847	3	0		0		1	5	1335	0	0.0	0	0.0	1127	84.4
CHSY1	ENST00000254190	3	1	1	1	1	1	1	2469	340	13.8	340	13.8	340	13.8
CHUK	ENST00000370397	21	0		0		0		2658	0	0.0	0	0.0	0	0.0
CIAO1	ENST00000488633	7	0		0		1	1	1160	0	0.0	0	0.0	159	13.7
CIAO3	ENST00000251588	11	0		0		0		1651	0	0.0	0	0.0	0	0.0
CIB1	ENST00000328649	7	0		1	1	1	1	716	0	0.0	71	9.9	71	9.9
CIB2	ENST00000258930	6	0		0		1	1	684	0	0.0	0	0.0	71	10.4
CIBAR1	ENST00000518322	9	0		0		1	4	1050	0	0.0	0	0.0	122	11.6
CIC	ENST00000681038	20	1	2	2	2,21	2	2,21	7954	2814	35.4	3202	40.3	3202	40.3
CIDEC	ENST00000336832	5	0		0		0		817	0	0.0	0	0.0	0	0.0
